created_at,full_text,in_reply_to_screen_name,lang,tweet_url
Fri Jan 27 01:41:32 +0000 2023,@CommuterLine @tanyakanrl Min itu mah mestinya segera diperbaiki bukan sekedar jd evaluasi kedepannya karena bahaya. Masa iya masih dievaluasi aja. Nunggu ada yg celaka parah dulu?! ,CommuterLine,in,https://x.com/undefined/status/1618786252307959809
Mon Jul 10 13:15:03 +0000 2023,@CommuterLine Dari 19.48 ke 20.13 itu 25 menit min? Gak bahaya tah min bejubel penumpang nya?? Btw Kok jadwal 20.13 itu gak ada di screnshot aplikasi yg sy kirim tadi min @CommuterLine,CommuterLine,in,https://x.com/undefined/status/1678392389222952960
Wed Feb 08 23:00:20 +0000 2023,@CommuterLine @coklat_keju88 KAI minta maaf trs tanpa ada usaha pembenahan yg optimal... Tolong juga yg kasus prank segerombolan pemuda yg meneriaki salah satu penumpang dengan meneriaki copet diusut..kan ada CCTV....bahaya bgt.....kalau sampai org yg kena prank itu di hakimi masa gmn?,CommuterLine,in,https://x.com/undefined/status/1623456727030194179
Wed Jan 11 02:20:10 +0000 2023,@CommuterLine @KAI121 ini ga ada yang mau benerin tangga di peron stasiun Serpong apa gimana? barusan lihat ibu-ibu gendong anak dan bawa koper kesulitan lewat mau naik tangga sempit banget jalannya. bahaya banget bisa-bisa jatuh ke rel. https://t.co/u5JxPHP6qH,CommuterLine,in,https://x.com/undefined/status/1612997766158110720
Wed May 17 04:14:59 +0000 2023,@CommuterLine @hansdavidian Info eskalator rusak itu bahaya jika digunakan manual bisa ambrol lalu isdet dah orang2.,CommuterLine,in,https://x.com/undefined/status/1658687534891958273
Sun Mar 05 06:54:38 +0000 2023,@CommuterLine memberikan standar fasilitas yg LAYAK itu jangan nunggu keluhan dari masyarakat common sense aja itu keliatan bgt tinggi jaraknya. mbok ya disiapin tangga tambahan gue yg masih muda aja liatnya bahaya bgt kebayang ga yg turun dr situ ibu² hamil atau yg disabilitas?,CommuterLine,in,https://x.com/undefined/status/1632273397991317504
Thu May 04 11:59:45 +0000 2023,@CommuterLine min kok stasiun sentral bocor? Untung aja ga ada orang yg kepeleset. Bahaya min,CommuterLine,in,https://x.com/undefined/status/1654093451422756866
Wed Apr 05 02:31:23 +0000 2023,@CommuterLine @ali_njajali Tp itu kan gak ada tmpt buat jlnnya? Ya buat apa dibuka kan bahaya gak sih,CommuterLine,in,https://x.com/undefined/status/1643441171690295297
Wed Jun 07 06:48:17 +0000 2023,@CommuterLine tolong eskalator st cakung dipercepat perbaikannya. Ini fasilitas umum loh yg dipakai banyak org. Skrg jdnya org2 numpuk desak2an pake lift yg kapasitas max nya hanya 4 orang. Ini bahaya loh. Kdg bisa dipampet 6-7 orang. Kalo ada apa2 gmn?,CommuterLine,in,https://x.com/undefined/status/1666336257449000960
Thu Jul 06 13:42:56 +0000 2023,@CommuterLine @mrkingwic @AnkerTwiter Min ini kenapa deh kereta ke Bekasi jd jarang gini kan stasiun jadi membludak ga bahaya ta?,CommuterLine,in,https://x.com/undefined/status/1676949856630476802
Sun Jan 08 03:47:32 +0000 2023,@CommuterLine min tolong dong pelaku pelecehan bermodus pura2 tidur nih barusan duduk sebelah saya gesek2 paha tangan udah sempet di tegur satpam di st bogor tp masih berkeliaran aja dia https://t.co/nopa39AeGg,CommuterLine,in,https://x.com/undefined/status/1611932591967604736
Wed Feb 15 07:14:10 +0000 2023,@CommuterLine @Chachazzs Tapi emang bener kuk krl kota tu makin siang makin penuh. Aku stuju bgt sey klo jurusan tnh abang dan kota beda kaya dulu. Klo mau ke sudirman/tanah abang skrg perjuangan bgt transitnya dan dedempetannya blm lagii klo ada pelecehan huft ~,CommuterLine,in,https://x.com/undefined/status/1625755328758550528
Sun Apr 30 18:26:17 +0000 2023,@CommuterLine @tanyakanrl Aturan tolol masker malah bikin tingkat pelecehan lebih tinggi.,CommuterLine,in,https://x.com/undefined/status/1652741174694907904
